Year,Population,Yearly Growth %,Number,Density
1951,2543130380,1.75%,43808223,17
1952,2590270899,1.85%,47140519,17
1953,2640278797,1.93%,50007898,18
1954,2691979339,1.96%,51700542,18
1955,2746072141,2.01%,54092802,18
1956,2801002631,2.00%,54930490,19
1957,2857866857,2.03%,56864226,19
1958,2916108097,2.04%,58241240,20
1959,2970292188,1.86%,54184091,20
1960,3019233434,1.65%,48941246,20
1961,3068370609,1.63%,49137175,21
1962,3126686743,1.90%,58316134,21
1963,3195779247,2.21%,69092504,21
1964,3267212338,2.24%,71433091,22
1965,3337111983,2.14%,69899645,22
1966,3406417036,2.08%,69305053,23
1967,3475448166,2.03%,69031130,23
1968,3546810808,2.05%,71362642,24
1969,3620655275,2.08%,73844467,24
1970,3695390336,2.06%,74735061,25
1971,3770163092,2.02%,74772756,25
1972,3844800885,1.98%,74637793,26
1973,3920251504,1.96%,75450619,26
1974,3995517077,1.92%,75265573,27
1975,4069437231,1.85%,73920154,27
1976,4142505882,1.80%,73068651,28
1977,4215772490,1.77%,73266608,28
1978,4289657708,1.75%,73885218,29
1979,4365582871,1.77%,75925163,29
1980,4444007706,1.80%,78424835,30
1981,4524627658,1.81%,80619952,30
1982,4607984871,1.84%,83357213,31
1983,4691884238,1.82%,83899367,32
1984,4775836074,1.79%,83951836,32
1985,4861730613,1.80%,85894539,33
1986,4950063339,1.82%,88332726,33
1987,5040984495,1.84%,90921156,34
1988,5132293974,1.81%,91309479,34
1989,5223704308,1.78%,91410334,35
1990,5316175862,1.77%,92471554,36
1991,5406245867,1.69%,90070005,36
1992,5492686093,1.60%,86440226,37
1993,5577433523,1.54%,84747430,37
1994,5660727993,1.49%,83294470,38
1995,5743219454,1.46%,82491461,39
1996,5825145298,1.43%,81925844,39
1997,5906481261,1.40%,81335963,40
1998,5987312480,1.37%,80831219,40
1999,6067758458,1.34%,80445978,41
2000,6148898975,1.34%,81140517,41
2001,6230746982,1.33%,81848007,42
2002,6312407360,1.31%,81660378,42
2003,6393898365,1.29%,81491005,43
2004,6475751478,1.28%,81853113,43
2005,6558176119,1.27%,82424641,44
2006,6641416218,1.27%,83240099,45
2007,6725948544,1.27%,84532326,45
2008,6811597272,1.27%,85648728,46
2009,6898305908,1.27%,86708636,46
2010,6985603105,1.27%,87297197,47
2011,7073125425,1.25%,87522320,47
2012,7161697921,1.25%,88572496,48
2013,7250593370,1.24%,88895449,49
2014,7339013419,1.22%,88420049,49
2015,7426597537,1.19%,87584118,50
2016,7513474238,1.17%,86876701,50
2017,7599822404,1.15%,86348166,51
2018,7683789828,1.10%,83967424,52
2019,7764951032,1.06%,81161204,52
2020,7840952880,0.98%,76001848,53
2021,7909295151,0.87%,68342271,53
2022,7975105156,0.83%,65810005,54
2023,8045311447,0.88%,70206291,54
